attribute,level,value
policytype,0,0
policytype,1,ban
policytype,2,subsidies
policytype,3,tax
cost,0,0
cost,1,4
cost,2,9
cost,3,14
cost,4,19
year,0,0
year,1,2025
year,2,2035
year,3,2045
year,4,2055
distance,0,0
distance,1,2
distance,2,5
distance,3,10
distance,4,50
org,0,0
org,1,ccc
org,2,greenpeace
org,3,dp
org,4,rp
adopters,0,0
adopters,1,0.01
adopters,2,0.23
adopters,3,0.45
adopters,4,0.76
adopters,5,0.98
none,1,TRUE
none,2,FALSE
