"resp.id","accessibilitymobile","accessibilityweb","authenticationmulti_factor","authenticationsimple","authenticationtwo_factor","customisationhigh","customisationlow","customisationmedium","videomulti_person","videoone_to_one","noneTRUE","noneFALSE","adopters"
2,-0.905759702258728,0.905759702258728,0.56201026088239,-2.23094748972422,1.66893722884183,2.2049834630228,-2.75491514801668,0.549931684993883,1.47632409545735,-1.47632409545735,-4.14196326663687,4.14196326663687,25.2509868987693
3,-2.59919898769724,2.59919898769724,-0.741484218562511,0.947155383742418,-0.205671165179907,1.87726176677709,-1.92119299860873,0.0439312318316382,0.649055690721858,-0.649055690721858,-4.1859602510669,4.1859602510669,22.44248262791
4,-1.35733616841852,1.35733616841852,-0.438032510777354,-0.728778257049808,1.16681076782716,1.09463165291663,-1.51397082624357,0.41933917332694,1.14109751585441,-1.14109751585441,-4.05393045043546,4.05393045043546,26.1535026425197
5,-1.5873782552035,1.5873782552035,0.422826176222071,-0.865088662904004,0.442262486681933,0.504356199132352,-2.02232248211805,1.5179662829857,2.51242308792568,-2.51242308792568,-3.97324109484336,3.97324109484336,25.7209721489247
6,-1.77842629735793,1.77842629735793,-1.26278134724572,0.336119439881404,0.926661907364311,2.98667974597547,-2.8665258065662,-0.120153939409271,1.7220269479386,-1.7220269479386,-4.16583646626403,4.16583646626403,22.5167438887454
7,-1.38336856363793,1.38336856363793,0.798023905506094,-1.59903795673921,0.801014051233113,2.04388344855531,-2.01731245150464,-0.0265709970506721,1.72590452747086,-1.72590452747086,-4.3159891208442,4.3159891208442,25.069017865018
8,-1.41461986411249,1.41461986411249,0.180746420026062,-1.04889849745039,0.868152077424331,1.44744408481474,-2.07152110918698,0.62407702437224,1.44211328071293,-1.44211328071293,-4.04183850555898,4.04183850555898,25.7148268302277
9,-1.69345430754301,1.69345430754301,0.985110834311532,-2.23430185316609,1.24919101885455,2.4206704695029,-2.45356415583837,0.0328936863354657,1.51980464551952,-1.51980464551952,-4.17322521493604,4.17322521493604,24.414890709763
10,-1.11090948684002,1.11090948684002,-0.152289001603955,-0.605092148634114,0.757381150238069,1.4481810808249,-1.87645777195335,0.42827669112845,1.42249141829535,-1.42249141829535,-4.08487013353186,4.08487013353186,26.2268003013114
11,-0.630731507854709,0.630731507854709,-0.306773546218048,-0.598106029800416,0.904879576018464,1.4948007033502,-1.49792919218266,0.00312848883246183,1.77044882410193,-1.77044882410193,-4.03255921756903,4.03255921756903,26.4790768508311
13,-2.32327293214043,2.32327293214043,-0.45589479208155,-0.690450901523196,1.14634569360474,1.54239332555106,-2.28273564508339,0.74034231953233,1.58697435476497,-1.58697435476497,-4.14641546577141,4.14641546577141,24.0698965986641
14,-1.0428299472737,1.0428299472737,0.832729272954505,-1.51454775920193,0.681818486247418,1.41000609631912,-1.25583808441171,-0.154168011907412,1.0533086598716,-1.0533086598716,-4.09296408717808,4.09296408717808,26.3674490491436
15,-1.29585706511127,1.29585706511127,-0.245506244590554,-0.573632423141537,0.819138667732091,0.967126292154623,-1.0724927988413,0.105366506686678,1.34996870748414,-1.34996870748414,-3.99821078034366,3.99821078034366,26.4967868216748
16,-1.35402201630461,1.35402201630461,-0.572155184672471,-0.843770093364178,1.41592527803665,0.450907542834201,-1.70078507944812,1.24987753661392,1.76763966081906,-1.76763966081906,-3.96200734594673,3.96200734594673,26.5653986355199
17,-1.46678853746945,1.46678853746945,0.15004267495272,-0.783679363852562,0.633636688899843,1.65599541965847,-2.07859606008392,0.422600640425446,1.4392932026788,-1.4392932026788,-4.15320170739187,4.15320170739187,25.7497537948893
18,-1.15903877769644,1.15903877769644,1.37852514877361,-1.78460428454255,0.406079135768936,1.4526439748953,-2.02173478306618,0.569090808170872,1.39368950372845,-1.39368950372845,-4.09063869665781,4.09063869665781,25.8042991011309
