"resp.id","accessibilitymobile","accessibilityweb","authenticationmulti_factor","authenticationsimple","authenticationtwo_factor","customisationhigh","customisationlow","customisationmedium","videomulti_person","videoone_to_one","noneTRUE","noneFALSE","adopters"
2,-2.59244896752859,2.59244896752859,2.44963088410793,-2.5974037028268,0.147772818718877,1.04592048350987,-1.37889272850232,0.332972244992452,1.14584446822811,-1.14584446822811,-8.7084079281207,8.7084079281207,16.4549518271956
3,-0.585975480542135,0.585975480542135,1.46893806547383,-0.988677487329879,-0.480260578143951,0.821463855256264,-1.31368393209869,0.492220076842435,1.32524405702332,-1.32524405702332,-6.43412539337566,6.43412539337566,33.6151365245531
4,-1.13829303241863,1.13829303241863,0.468707780811945,-0.8713168785314,0.402609097719455,0.465499459163803,-1.98653328204103,1.52103382287723,1.8461587044168,-1.8461587044168,-7.46491715920818,7.46491715920818,25.1649192081169
5,-1.93019343705262,1.93019343705262,1.54646622287107,-2.12422832434939,0.577762101478323,1.57940744917973,-1.80185859427113,0.222451145091396,1.23706049623088,-1.23706049623088,-6.01266845224017,6.01266845224017,37.0743232474205
6,-2.23699258098721,2.23699258098721,3.18691932598246,-3.18599572415319,-0.000923601829265035,1.62846213677698,-1.8093414571302,0.180879320353213,0.905352568916443,-0.905352568916443,-7.84924423892247,7.84924423892247,23.014750357774
7,-1.73476463752381,1.73476463752381,2.87882110242017,-3.06646161362424,0.187640511204076,1.26880245184367,-1.54983495176427,0.281032499920608,1.46197264593183,-1.46197264593183,-7.86951802966912,7.86951802966912,22.4816008318504
8,-1.77614612951923,1.77614612951923,2.43348121523444,-2.69336485314185,0.259883637907406,1.90469249751637,-1.73852787020382,-0.166164627312558,1.28121799203341,-1.28121799203341,-5.613414244561,5.613414244561,41.481118975606
9,-1.68239495816214,1.68239495816214,1.96575982904188,-3.73979722264496,1.77403739360307,0.591459871897348,-0.810030887787694,0.218571015890345,0.231940242718877,-0.231940242718877,-9.4638624643072,9.4638624643072,10.5005411856365
10,-1.74721248835009,1.74721248835009,2.00153154946274,-2.521616537256,0.520084987793262,1.38346897313119,-1.4527271591771,0.0692581860459068,1.48448190403011,-1.48448190403011,-5.77743389558459,5.77743389558459,39.947082914017
11,-2.04068833968773,2.04068833968773,2.30800352278828,-2.99076686687246,0.682763344084176,1.64812737445983,-1.76248677610639,0.114359401646568,0.92208769593575,-0.92208769593575,-5.95441578774054,5.95441578774054,38.2059049448805
13,-1.94338215855037,1.94338215855037,1.91583312305333,-2.58828130652404,0.672448183470716,1.36504960249644,-1.58003122259487,0.214981620098426,1.44375380970513,-1.44375380970513,-5.88831041831921,5.88831041831921,38.5914790121444
