"resp.id","accessibilitymobile","accessibilityweb","authenticationmulti_factor","authenticationsimple","authenticationtwo_factor","customisationhigh","customisationlow","customisationmedium","videomulti_person","videoone_to_one","noneTRUE","noneFALSE","adopters"
2,-1.40282471189963,1.40282471189963,0.656599917348712,-1.13749475150086,0.480894834152148,1.41569287910514,-1.44644644400776,0.0307535649026231,1.2948822391843,-1.2948822391843,-2.19527456909494,2.19527456909494,26.1669390976539
3,-1.62218630284127,1.62218630284127,0.306287220053748,-0.918296490023154,0.612009269969406,0.929105306012139,-1.24004481558291,0.310939509570773,1.10311187759373,-1.10311187759373,-2.68874989195343,2.68874989195343,26.1178338019222
4,-1.27520521300903,1.27520521300903,0.4488021566378,-0.551376105699896,0.102573949062097,0.40482211422363,-0.947379842277048,0.54255772805342,0.273390108453236,-0.273390108453236,-1.97006243932979,1.97006243932979,26.6425834115425
5,-0.969913417223783,0.969913417223783,-0.0542148944297675,-0.681369833111491,0.735584727541259,0.609689229852756,-1.04226937226665,0.432580142413894,1.26657252253684,-1.26657252253684,-5.55004743009012,5.55004743009012,25.1186572305945
6,-0.58640163593857,0.58640163593857,0.0522073756097479,-1.52482362347041,1.47261624786067,1.10172064713385,-0.69945730114179,-0.402263345992059,1.10183427767773,-1.10183427767773,-5.1597585236772,5.1597585236772,25.145503163461
7,-1.03929141221311,1.03929141221311,0.212720723489776,-0.298775841269564,0.0860551177797868,2.10502333670257,-2.07363914538041,-0.0313841913221525,1.55671556216567,-1.55671556216567,-2.86094016706898,2.86094016706898,25.8697181166804
8,-1.05540922363283,1.05540922363283,-0.189655383136782,-0.926427881735572,1.11608326487235,1.10598172368171,-1.26543647582758,0.159454752145865,0.744137519157015,-0.744137519157015,-3.01516027178452,3.01516027178452,25.9314752686254
9,-1.331768127412,1.331768127412,-0.0199491780645683,-0.392489077568913,0.412438255633481,1.10437491216961,-1.3431293196185,0.238754407448894,1.61355164254998,-1.61355164254998,-2.82471520180609,2.82471520180609,25.8917968106081
10,-2.11282456884969,2.11282456884969,0.524328153356328,-1.26894006568929,0.744611912332965,1.64318777772682,-1.17382191540536,-0.469365862321447,1.84347416075425,-1.84347416075425,-1.54496815706962,1.54496815706962,25.4464159281161
11,-1.62602399303785,1.62602399303785,0.502066373477561,-0.201330286767089,-0.300736086710472,0.667226613331007,-1.06867229695405,0.401445683623039,1.54074666146082,-1.54074666146082,-2.77660078390468,2.77660078390468,25.8016499305768
13,-1.35323662925579,1.35323662925579,0.446632515365611,-0.977924513405112,0.531291998039502,1.34676800023125,-1.48244991698049,0.135681916749237,1.12925097305418,-1.12925097305418,-2.69577322779083,2.69577322779083,25.9439673756531
14,-0.69718505129393,0.69718505129393,0.262980924325686,-0.691393101381919,0.428412177056236,1.67097479301318,-1.54001209066886,-0.130962702344321,1.144326388407,-1.144326388407,-3.94209096529761,3.94209096529761,25.7529968994398
15,-0.949354995507143,0.949354995507143,-0.148474807275118,-1.05476184823318,1.2032366555083,1.33459532157612,-1.15286814082076,-0.181727180755369,1.48044732039945,-1.48044732039945,-2.87740578043539,2.87740578043539,25.71352743389
16,-0.864604688465757,0.864604688465757,0.634878544757188,-1.31168928762493,0.676810742867745,1.01279572060605,-1.40748944797729,0.394693727371238,0.692916608894677,-0.692916608894677,-1.85427326713805,1.85427326713805,26.5010247748425
17,-1.02888410799065,1.02888410799065,0.532482147517817,-0.908080078030699,0.375597930512884,1.95861002014796,-1.60657662057521,-0.352033399572757,1.06443259655166,-1.06443259655166,-2.80798172704194,2.80798172704194,26.1146435556217
18,-1.54338785100694,1.54338785100694,0.663259020124889,-1.07741454988627,0.414155529761385,1.06640254572732,-1.14717819016651,0.0807756444391925,1.24422045297511,-1.24422045297511,-2.881457145586,2.881457145586,26.0807374344797
19,-2.11706271408288,2.11706271408288,0.0248769109917017,-0.724366320118463,0.699489409126761,1.47422321747557,-1.63946776164268,0.165244544167114,1.01214678292519,-1.01214678292519,-2.23842720641107,2.23842720641107,25.9977390527448
20,-1.53122873037569,1.53122873037569,1.39931930294543,-1.85804071708272,0.458721414137297,1.19325369439571,-1.2392385667043,0.045984872308591,1.17806173738067,-1.17806173738067,-1.76194258416191,1.76194258416191,25.919044512909
