attribute,level,value
accessibility,0,0
accessibility,1,mobile
accessibility,2,web
authentication,0,0
authentication,1,simple
authentication,2,two_factor
authentication,3,multi_factor
customisation,0,0
customisation,1,low
customisation,2,medium
customisation,3,high
video,0,0
video,1,multi_person
video,2,one_to_one
adopters,0,0
adopters,1,0.01
adopters,2,0.23
adopters,3,0.45
adopters,4,0.76
adopters,5,0.98
