"resp.id","policytypeban","policytypesubsidies","policytypetax","cost4","cost9","cost14","cost19","year2025","year2035","year2045","year2055","distance2","distance5","distance10","distance50","orgccc","orgdp","orggreenpeace","orgrp","noneTRUE","noneFALSE","adopters"
2,-0.600266167141965,0.09990666585555,0.500359501286414,6.31729427874935,1.76851252679189,-2.46335546993237,-5.62245133560885,1.68573651444329,0.667714577819894,0.692790240241756,-3.04624133250494,0.0564132679569994,1.69132896768838,-0.812571907866612,-0.935170327778765,0.794759450801059,2.1786585982913,1.77516093002927,-4.74857897912161,0.260782730020156,-0.260782730020156,15.6317757070597
3,1.28015778741071,-0.762441194143654,-0.517716593267062,4.20409355336071,1.6984159785647,-1.67340615907835,-4.22910337284706,1.57774813228039,1.00355328267519,1.08754136919191,-3.66884278414749,-1.85978778354802,0.631188124145843,0.625034273208024,0.603565386194152,1.8646958827002,5.97551420209166,4.78701934155071,-12.6272294263426,0.0307354123781359,-0.0307354123781359,20.1434135722217
4,0.109313768791098,0.288619544341104,-0.397933313132201,6.18686073666505,1.00187418760255,-1.8621266784907,-5.32660824577692,1.92812328520731,0.928681834430229,-1.11732784920183,-1.73947727043571,-0.30549317856537,0.86455640879746,-0.548091298425031,-0.0109719318070587,0.970810629645023,2.18082644944864,3.89818423619124,-7.0498213152849,0.214115935658865,-0.214115935658865,17.7895392851913
5,0.630903340848445,-0.665613279212685,0.0347099383642394,6.70279556495511,1.94706018686569,-2.27698539842504,-6.37287035339576,1.22787263457552,1.52820208765009,-0.598263302617091,-2.15781141960852,-0.590207597765177,0.707551643595142,-0.83418415002186,0.716840104191895,2.20437561963519,2.08840547893194,4.29868174997876,-8.5914628485459,0.0816401618286765,-0.0816401618286765,16.1385234130294
6,-0.326635175667845,1.1773952562983,-0.850760080630453,6.1674572554793,2.05051774510519,-1.85692553205157,-6.36104946853292,0.428967106136072,0.393030196833995,-0.588803668735775,-0.233193634234293,-0.781873962278552,-0.0568091050766117,-0.0853099748202528,0.923993042175417,-1.70743396351321,-2.71052927996629,-3.85321204237912,8.27117528585861,0.304307832970177,-0.304307832970177,8.32656781284269
8,-0.632502364495343,0.812197888621046,-0.179695524125704,5.24329503417304,2.75411422554685,-2.29009738434047,-5.70731187537942,0.073167665481775,0.332870242414645,0.0765833492369521,-0.482621257133371,-2.40603032165858,-0.374697266053375,0.96157077470275,1.81915681300922,0.397292300987827,-1.86919917267743,-2.73299883900462,4.20490571069422,0.740841757209871,-0.740841757209871,9.29600320423206
9,1.6213719982684,-1.38447881278983,-0.236893185478566,4.53256818975114,2.73346817801623,-2.21156467687921,-5.05447169088818,1.97954328981649,1.11123122070788,0.805848494526393,-3.89662300505077,-2.26992461146689,0.68955612746171,0.892685894503673,0.687682589501513,3.14790066886962,4.81117120519937,6.1614818437995,-14.1205537178685,-0.206306635537247,0.206306635537247,18.8502230446462
13,0.475783331952157,-0.14101718745517,-0.334766144496987,4.58752786496499,3.41038776086887,-3.6044908771364,-4.39342474869747,-0.438047055503747,1.16958564074524,0.19645168891146,-0.927990274152957,-2.16227548346234,1.47007343872812,-0.130827367574677,0.823029412308909,2.36938522523304,-1.06820468011107,-0.0425708420431006,-1.25860970307886,0.398126244412144,-0.398126244412144,11.599571669821
15,0.301674819123197,0.154217217708587,-0.455892036831782,2.77000293164734,3.86402661294901,-2.52367559232212,-4.11035395227425,-0.246889812365834,2.37720913997993,0.234747226724541,-2.36506655433864,-1.94545908706463,0.423038790336325,1.3391928700818,0.183227426646505,2.32569773273857,3.92610308974608,2.5744863982477,-8.82628722073235,-0.795872756572662,0.795872756572662,10.7339921655161
16,-0.504515861340133,0.501361069266957,0.00315479207317555,5.98539023403851,1.97859649214008,-1.95164650791166,-6.01234021826693,0.570212461466019,1.59368429647431,0.0983894268998994,-2.26228618484023,-3.14762610657285,0.0211043941307881,1.27088731857066,1.85563439387139,1.73811255577553,0.0386067306688076,0.815690902120015,-2.59241018856435,0.22100488190021,-0.22100488190021,11.1128552038877
