"resp.id","policytypeban","policytypesubsidies","policytypetax","cost4","cost9","cost14","cost19","year2025","year2035","year2045","year2055","distance2","distance5","distance10","distance50","orgccc","orgdp","orggreenpeace","orgrp","noneTRUE","noneFALSE","adopters"
2,2.45267769221021,-1.83338544901948,-0.619292243190728,2.27496908621595,0.682546043270229,1.56975530099504,-4.52727043048123,5.74497338402428,2.28014347642571,-0.535155413455714,-7.4899614469943,-5.5533219276242,-0.730236914759222,3.39179092098738,2.89176792139604,-1.6613042975641,4.61491780249614,6.51843562820099,-9.47204913313303,-5.15575618224292,5.15575618224292,6.86948097195893
3,0.0322561677648833,-0.637334608421211,0.605078440656328,3.25470596812564,2.2014763347618,-2.29245086722077,-3.16373143566666,3.40892999741476,2.75038242139652,-1.66923714664795,-4.49007527216333,-4.19016356352801,-1.67712458043698,1.63754059226604,4.22974755169894,-1.03619851977521,1.63535019772899,1.26273488175463,-1.8618865597084,-2.85299339074581,2.85299339074581,6.30828277005686
4,2.86132071109729,-1.2695813228486,-1.5917393882487,4.04734446231491,1.64249886814587,-0.224088787088391,-5.46575454337239,5.81250095748436,2.90511862214289,-1.64452692196748,-7.07309265765977,-6.89244673438225,-0.507860766786783,1.86202403939574,5.5382834617733,-2.25790058172264,5.29758916327117,7.70663485503177,-10.7463234365803,-5.8924296270343,5.8924296270343,7.05068065111634
5,1.91810352582977,-0.596024244275718,-1.32207928155405,3.75580519769522,-0.405351386121789,1.01083857320442,-4.36129238477785,6.46150019738326,1.5259678919778,-1.76063310334734,-6.22683498601371,-7.47666807299356,0.958783394691353,2.04944468882459,4.46843998947761,-2.38184537699597,3.6066543996865,5.75311209781732,-6.97792112050785,-4.33767352628964,4.33767352628964,5.66302442095611
6,-2.57331949277351,2.10270065467483,0.470618838098672,5.06270686332574,1.44774575954418,-1.05650228279226,-5.45395034007765,-0.316282741772968,0.0262529694253921,0.0453501875799943,0.244679584767581,-2.6483703697667,-0.124829562462081,1.13104368180063,1.64215625042816,0.733223759403736,-5.46622390894311,-5.92753808496579,10.6605382345051,3.5633988076585,-3.5633988076585,2.73146502420039
8,-1.66796598035909,1.39792409780715,0.270041882551955,4.18877784234594,2.82220800318004,-1.80921299274506,-5.20177285278091,0.442686695052459,1.05127422230228,0.14202261882564,-1.63598353618038,-3.57216539168345,0.489775070686661,1.7766168205631,1.30577350043369,-0.227241006536039,-2.93874701337105,-2.63457767877323,5.80056569868032,0.60201857344468,-0.60201857344468,4.5556747626771
9,3.10323549644577,-1.89354667585696,-1.20968882058881,2.14813757787787,1.84563657991376,-0.352518329871013,-3.64125582792062,6.78206126770748,3.1463166856423,-1.63323098111019,-8.29514697223962,-6.97242847328265,-0.591951207466157,1.86624502983438,5.69813465091442,-2.32512517631066,5.17500035835162,7.94634329379668,-10.7962184758377,-5.99909280817275,5.99909280817275,7.32637345987813
13,0.000263995835127487,-0.203765764616697,0.20350176878157,4.54352330813506,1.54840360306627,-0.506237277102044,-5.58568963409929,2.9235018469132,1.89305460242586,-1.27003342659637,-3.54652302274269,-6.10283594115041,0.0847494030622554,2.25031237708508,3.76777416100308,-0.942250197494093,-0.498077883648709,1.01785446490658,0.422473616236225,-1.68329858362943,1.68329858362943,5.54149898662726
15,2.83361120541605,-1.12675640596696,-1.70685479944908,3.55368223624549,1.05773600828383,-0.665711849455248,-3.94570639507405,5.71036603307172,2.24441136397491,-0.966839801434503,-6.98793759561213,-7.36476182922945,-0.0533915800210311,2.49181430814893,4.92633910110157,-1.24772342567335,3.53607104371329,5.24611993009292,-7.53446754813285,-4.87475850779137,4.87475850779137,6.84257604028662
16,1.18061656680788,-1.48626372908321,0.305647162275332,4.37372623985228,1.48329030782349,-0.687145290749494,-5.16987125692627,4.44381018288124,2.38560960678429,-1.63304786975786,-5.19637191990767,-5.60828044424927,-0.374180260357056,2.23064842626961,3.75181227833672,-1.9535957704885,1.66989931788079,3.33033208028845,-3.04663562768074,-3.05517403575572,3.05517403575572,6.61515796045124
