"resp.id","policytypeban","policytypesubsidies","policytypetax","cost4","cost9","cost14","cost19","year2025","year2035","year2045","year2055","distance2","distance5","distance10","distance50","orgccc","orgdp","orggreenpeace","orgrp","noneTRUE","noneFALSE","adopters"
2,1.62255568629771,-0.34735030722938,-1.27520537906833,3.14742716611688,1.94026974586766,-1.40480404106358,-3.68289287092096,4.0123757813769,2.89646956308345,-2.35742990787945,-4.5514154365809,-5.37231107705361,0.188163059775239,2.42682369112209,2.75732432615626,-1.35580313327935,1.50965061736445,2.14565022491214,-2.29949770899724,-4.68150681226034,4.68150681226034,6.84346343682041
3,2.49550474425621,-0.595465099973887,-1.90003964428232,3.35376032137482,2.5018498609666,-0.596227204447609,-5.25938297789381,5.40244498942057,1.61224230034147,-1.54768590530823,-5.4670013844538,-5.03919041636533,-0.466380612939092,2.33029036364174,3.17528066566268,-0.508149786575098,3.85212802412171,3.68350329214185,-7.02748152968847,-6.95535816101368,6.95535816101368,7.71078022889826
4,2.07686469652833,-0.636938722384801,-1.43992597414353,2.5427782406128,2.13423447446193,0.621198306608478,-5.2982110216832,5.167413200993,3.19389210657824,-1.8354607710814,-6.52584453648984,-3.92327674727271,-0.327917703940006,2.12306569298432,2.1281287582284,0.220180810365502,2.3536951873289,3.16788271091183,-5.74175870860624,-6.37727124470311,6.37727124470311,5.94717102727629
5,1.96423511713428,-0.534461584459502,-1.42977353267477,3.3657813454915,2.26164718717391,-0.381083209789554,-5.24634532287585,6.01096431532944,2.50781168747318,-2.14828050906073,-6.3704954937419,-5.33993989457812,-0.340181736054906,1.91997678964312,3.76014484098991,0.0335504507215144,3.64416963597195,5.71613569165253,-9.39385577834601,-8.51670589939773,8.51670589939773,8.23768708845189
6,0.151284291483538,0.756921633317003,-0.908205924800542,3.90019137324032,1.23911031296636,-0.778389646426783,-4.3609120397799,0.480283453155501,1.02043977135059,-0.916261778648216,-0.584461445857877,-3.30722051558823,1.53537362846966,0.359816253903748,1.41203063321482,-1.85536774437644,-0.963523404880169,-3.66371194801273,6.48260309726934,1.72153142387822,-1.72153142387822,3.68668075335253
8,-1.17300715863073,0.438104416891475,0.734902741739264,5.57039961695313,1.80961436548413,-1.69255162067032,-5.68746236176695,0.46021239112302,-1.3214754311914,1.67690992733077,-0.81564688726239,-0.759082461850766,-1.90685669995453,1.12443663868854,1.54150252311677,-0.44414418407891,-2.04140479750837,-3.76925396652734,6.25480294811463,2.62271296600092,-2.62271296600092,2.83274113548183
9,1.29387492307034,0.0573104844611524,-1.35118540753149,2.76158831952722,2.51171411751963,-0.617233071832082,-4.65606936521478,4.49277693687762,2.57217457869595,-2.87650190922643,-4.18844960634714,-5.66302112754182,0.531981989904666,1.69003248303598,3.44100665460119,-0.0540181449136079,2.12026383084859,4.22265048484876,-6.28889617078373,-6.44581474902996,6.44581474902996,7.9195648594068
13,0.614509821564785,-0.289537702155804,-0.324972119408983,2.80460197007734,2.37187008565151,-0.354941221589008,-4.82153083413983,4.12811185441979,0.943881690916944,-0.49094742509541,-4.58104612024133,-5.55274529921198,0.323940210301754,1.69379916499046,3.53500592391978,-0.559103474184893,0.794400378861918,0.970998539454258,-1.20629544413128,-3.90922969919466,3.90922969919466,6.59208295712193
15,2.81251320872368,-0.784706477412067,-2.02780673131162,2.54766749961973,1.08504372311008,-0.00788332655780922,-3.624827896172,5.82634650188622,1.85007899231854,-1.74027894505757,-5.93614654914721,-5.37574371454973,0.641353228701549,1.78371294916532,2.95067753668286,-1.25349497986629,3.99221710149963,4.00797922933045,-6.74670135096379,-6.7742542744343,6.7742542744343,7.89636891450833
16,1.17698993359737,-0.507987967417334,-0.669001966180033,4.39045670477333,1.81370296567634,-0.785262030942486,-5.4188976395072,4.09959698006874,1.66424105782293,-1.14304747348415,-4.62079056440751,-4.51263511392438,-0.431353110997628,1.42337005955436,3.52061816536764,0.376975893255559,0.704478744187545,1.00485462850093,-2.08630926594403,-4.12891650963031,4.12891650963031,6.03318536750475
